block	context	SZ	CSI	ProbeType	Ans	PC	RT
1	1	8	5	0	left'	1	1.527363718
1	0	2	5	2	right'	1	0.569271603
1	0	2	5	1	right'	1	0.551964657
1	1	8	5	1	right'	1	0.638261758
1	1	8	5	0	right'	0	1.641741384
1	1	6	5	0	left'	1	0.711295621
1	1	6	5	0	left'	1	0.658906225
1	1	6	5	0	left'	1	0.734790105
1	1	6	5	0	left'	1	0.973646025
1	0	6	5	1	right'	1	1.088687247
1	0	6	5	0	left'	1	0.768416361
1	0	4	5	1	right'	1	0.813450187
1	0	4	5	0	left'	1	0.8139144
1	1	6	5	0	left'	1	0.724695044
1	1	6	5	1	right'	1	0.844246163
1	1	2	5	1	right'	1	0.939649898
1	1	2	5	0	left'	1	0.658370564
1	1	2	5	0	left'	1	0.646881284
1	1	2	5	0	left'	1	0.705854141
1	1	6	5	0	left'	1	0.817602843
1	1	6	5	2	right'	1	0.791342421
1	1	4	5	2	right'	1	0.762336193
1	1	4	5	2	right'	1	0.799461418
1	0	4	5	1	right'	1	0.7757218
1	0	4	5	0	left'	1	0.648988797
1	0	2	5	0	left'	1	0.561410766
1	0	2	5	2	right'	1	0.583798797
1	0	4	5	1	right'	1	0.666534166
1	0	4	5	2	right'	1	1.08800948
1	0	8	5	0	left'	1	1.049635695
1	0	8	5	0	right'	0	1.382295472
1	1	6	5	0	left'	1	0.865709319
1	1	6	5	0	left'	1	0.604658791
1	1	6	5	0	left'	1	0.880682567
1	1	6	5	1	right'	1	0.800938532
1	0	8	0.3	0	left'	1	3.069777632
1	0	8	0.3	1	left'	0	1.17043728
1	0	4	0.3	0	left'	1	1.756187042
1	0	4	0.3	1	left'	0	1.400846478
1	0	6	0.3	0	left'	1	2.392709722
1	0	6	0.3	2	left'	0	1.069312629
1	1	2	0.3	1	left'	0	3.341229036
1	1	2	0.3	1	left'	0	1.925725106
1	0	8	0.3	0	left'	1	2.24949207
1	0	8	0.3	1	right'	1	2.27120864
1	1	8	0.3	1	right'	1	3.579644332
1	1	8	0.3	0	left'	1	0.870683479
1	0	2	0.3	0	right'	0	4.203399967
1	0	2	0.3	2	left'	0	0.877165489
1	0	2	0.3	0	left'	1	2.536864485
1	0	2	0.3	0	left'	1	1.145327533
1	1	2	0.3	1	right'	1	1.141036324
1	1	2	0.3	0	left'	1	0.965517173
1	0	8	0.3	0	left'	1	1.852116532
1	0	8	0.3	0	right'	0	0.738949181
1	1	2	0.3	2	right'	1	1.670035238
1	1	2	0.3	0	left'	1	1.098931086
1	0	2	0.3	0	left'	1	1.89132478
1	0	2	0.3	2	right'	1	0.883205392
1	0	6	0.3	0	right'	0	2.144549502
1	0	6	0.3	1	left'	0	1.440001832
1	1	8	0.3	2	right'	1	3.734113232
1	1	8	0.3	1	left'	0	0.765087224
1	1	2	0.3	2	right'	1	0.648754065
1	1	2	0.3	0	left'	1	1.380731759
1	0	4	0.3	2	right'	1	0.728559254
1	0	4	0.3	2	left'	0	0.679872926
1	0	4	0.3	0	left'	1	0.963544267
1	0	4	0.3	0	right'	0	1.587432929
1	0	2	0.3	2	right'	1	0.771313443
1	0	2	0.3	0	right'	0	1.000830136
1	0	6	0.3	2	right'	1	0.977622637
1	0	6	0.3	0	left'	1	0.535059738
1	0	4	0.3	1	right'	1	0.642976664
1	0	4	0.3	0	left'	1	0.544184921
1	0	2	0.3	1	right'	1	0.723843306
1	0	2	0.3	1	left'	0	0.45810496
1	1	4	0.3	2	right'	1	0.881122748
1	1	4	0.3	2	left'	0	2.501398758
1	1	4	0.3	1	left'	0	1.898861533
1	1	4	0.3	0	left'	1	1.354442926
