sz,ProbeType,CSI,ProbeType2,CSI2,cueorder,cat1,cat2,trial,position,ups,downs,pos,color,col_a,col_b
4,0,5,0,2,0,0,1,48,59,"(200, 100),(100, 200),(-200, 100),(-100, 200)","(-100, -200),(200, -100),(100, -200),(-200, -100)","(200, 100),(100, 200),(-200, 100),(-100, 200),(-100, -200),(200, -100),(100, -200),(-200, -100)","(107, 142, 35),(222, 184, 135),(255, 140, 0),(255, 182, 193),(128, 0, 128),(0, 230, 115),(255, 128, 0),(139, 69, 19)","(107, 142, 35),(222, 184, 135),(255, 140, 0),(255, 182, 193)","(128, 0, 128),(0, 230, 115),(255, 128, 0),(139, 69, 19)"
4,1,2,2,5,0,1,0,49,715,"(100, 200),(-200, 100),(-100, 200),(200, 100)","(-100, -200),(100, -200),(200, -100),(-200, -100)","(100, 200),(-200, 100),(-100, 200),(200, 100),(-100, -200),(100, -200),(200, -100),(-200, -100)","(0, 128, 128),(255, 140, 0),(0, 102, 102),(222, 184, 135),(255, 128, 0),(139, 69, 19),(0, 100, 0),(128, 0, 128)","(0, 128, 128),(255, 140, 0),(0, 102, 102),(222, 184, 135)","(255, 128, 0),(139, 69, 19),(0, 100, 0),(128, 0, 128)"
1,1,2,0,2,0,1,0,50,628,"(-100, 200)","(-200, -100)","(-100, 200),(-200, -100)","(222, 184, 135),(0, 100, 0)","(222, 184, 135)","(0, 100, 0)"
1,2,0.3,0,5,1,0,1,51,1032,"(-200, 100)","(200, -100)","(-200, 100),(200, -100)","(107, 142, 35),(255, 128, 0)","(107, 142, 35)","(255, 128, 0)"
3,0,0.3,0,0.3,1,0,1,52,182,"(-100, 200),(100, 200),(200, 100)","(-100, -200),(200, -100),(-200, -100)","(-100, 200),(100, 200),(200, 100),(-100, -200),(200, -100),(-200, -100)","(0, 128, 128),(255, 140, 0),(0, 102, 102),(139, 69, 19),(0, 230, 115),(255, 128, 0)","(0, 128, 128),(255, 140, 0),(0, 102, 102)","(139, 69, 19),(0, 230, 115),(255, 128, 0)"
2,0,2,1,2,1,1,0,53,521,"(-100, 200),(100, 200)","(-100, -200),(100, -200)","(-100, 200),(100, 200),(-100, -200),(100, -200)","(222, 184, 135),(255, 140, 0),(0, 230, 115),(0, 100, 0)","(222, 184, 135),(255, 140, 0)","(0, 230, 115),(0, 100, 0)"
3,0,5,1,5,0,1,0,54,394,"(-200, 100),(200, 100),(100, 200)","(200, -100),(-100, -200),(-200, -100)","(-200, 100),(200, 100),(100, 200),(200, -100),(-100, -200),(-200, -100)","(0, 102, 102),(255, 140, 0),(107, 142, 35),(255, 128, 0),(0, 230, 115),(0, 100, 0)","(0, 102, 102),(255, 140, 0),(107, 142, 35)","(255, 128, 0),(0, 230, 115),(0, 100, 0)"
1,0,2,2,2,0,0,1,55,412,"(-200, 100)","(200, -100)","(-200, 100),(200, -100)","(107, 142, 35),(255, 128, 0)","(107, 142, 35)","(255, 128, 0)"
1,0,5,0,2,0,0,1,56,56,"(-100, 200)","(-200, -100)","(-100, 200),(-200, -100)","(255, 182, 193),(0, 230, 115)","(255, 182, 193)","(0, 230, 115)"
2,1,2,2,0.3,1,1,0,57,833,"(200, 100),(100, 200)","(-200, -100),(100, -200)","(200, 100),(100, 200),(-200, -100),(100, -200)","(222, 184, 135),(255, 182, 193),(0, 230, 115),(139, 69, 19)","(222, 184, 135),(255, 182, 193)","(0, 230, 115),(139, 69, 19)"
1,1,0.3,0,2,0,0,1,58,624,"(-200, 100)","(200, -100)","(-200, 100),(200, -100)","(107, 142, 35),(0, 100, 0)","(107, 142, 35)","(0, 100, 0)"
3,0,5,2,5,1,1,0,59,574,"(200, 100),(-100, 200),(-200, 100)","(-200, -100),(200, -100),(-100, -200)","(200, 100),(-100, 200),(-200, 100),(-200, -100),(200, -100),(-100, -200)","(255, 182, 193),(0, 128, 128),(222, 184, 135),(139, 69, 19),(0, 230, 115),(0, 100, 0)","(255, 182, 193),(0, 128, 128),(222, 184, 135)","(139, 69, 19),(0, 230, 115),(0, 100, 0)"
4,1,2,0,5,0,0,1,60,607,"(-100, 200),(-200, 100),(200, 100),(100, 200)","(100, -200),(-200, -100),(-100, -200),(200, -100)","(-100, 200),(-200, 100),(200, 100),(100, 200),(100, -200),(-200, -100),(-100, -200),(200, -100)","(0, 128, 128),(107, 142, 35),(255, 140, 0),(255, 182, 193),(128, 0, 128),(139, 69, 19),(0, 230, 115),(255, 128, 0)","(0, 128, 128),(107, 142, 35),(255, 140, 0),(255, 182, 193)","(128, 0, 128),(139, 69, 19),(0, 230, 115),(255, 128, 0)"
3,2,5,0,2,1,1,0,61,1030,"(-100, 200),(200, 100),(-200, 100)","(200, -100),(-100, -200),(-200, -100)","(-100, 200),(200, 100),(-200, 100),(200, -100),(-100, -200),(-200, -100)","(255, 182, 193),(255, 140, 0),(0, 102, 102),(255, 128, 0),(128, 0, 128),(0, 230, 115)","(255, 182, 193),(255, 140, 0),(0, 102, 102)","(255, 128, 0),(128, 0, 128),(0, 230, 115)"
1,2,0.3,2,0.3,0,1,0,62,972,"(-200, 100)","(-200, -100)","(-200, 100),(-200, -100)","(0, 102, 102),(139, 69, 19)","(0, 102, 102)","(139, 69, 19)"
2,0,0.3,0,5,1,0,1,63,457,"(200, 100),(-100, 200)","(200, -100),(100, -200)","(200, 100),(-100, 200),(200, -100),(100, -200)","(255, 182, 193),(255, 140, 0),(0, 230, 115),(139, 69, 19)","(255, 182, 193),(255, 140, 0)","(0, 230, 115),(139, 69, 19)"
4,2,0.3,0,5,0,0,1,64,891,"(-200, 100),(200, 100),(100, 200),(-100, 200)","(-200, -100),(100, -200),(200, -100),(-100, -200)","(-200, 100),(200, 100),(100, 200),(-100, 200),(-200, -100),(100, -200),(200, -100),(-100, -200)","(107, 142, 35),(255, 140, 0),(222, 184, 135),(255, 182, 193),(0, 230, 115),(0, 100, 0),(255, 128, 0),(139, 69, 19)","(107, 142, 35),(255, 140, 0),(222, 184, 135),(255, 182, 193)","(0, 230, 115),(0, 100, 0),(255, 128, 0),(139, 69, 19)"
3,2,2,0,5,1,1,0,65,1038,"(200, 100),(-200, 100),(-100, 200)","(100, -200),(200, -100),(-100, -200)","(200, 100),(-200, 100),(-100, 200),(100, -200),(200, -100),(-100, -200)","(107, 142, 35),(222, 184, 135),(255, 182, 193),(255, 128, 0),(128, 0, 128),(139, 69, 19)","(107, 142, 35),(222, 184, 135),(255, 182, 193)","(255, 128, 0),(128, 0, 128),(139, 69, 19)"
4,2,5,0,5,0,1,0,66,899,"(-100, 200),(100, 200),(200, 100),(-200, 100)","(200, -100),(100, -200),(-100, -200),(-200, -100)","(-100, 200),(100, 200),(200, 100),(-200, 100),(200, -100),(100, -200),(-100, -200),(-200, -100)","(222, 184, 135),(0, 102, 102),(107, 142, 35),(255, 182, 193),(139, 69, 19),(255, 128, 0),(0, 100, 0),(128, 0, 128)","(222, 184, 135),(0, 102, 102),(107, 142, 35),(255, 182, 193)","(139, 69, 19),(255, 128, 0),(0, 100, 0),(128, 0, 128)"
2,1,0.3,0,5,0,0,1,67,601,"(-100, 200),(100, 200)","(-100, -200),(200, -100)","(-100, 200),(100, 200),(-100, -200),(200, -100)","(0, 128, 128),(255, 182, 193),(0, 100, 0),(255, 128, 0)","(0, 128, 128),(255, 182, 193)","(0, 100, 0),(255, 128, 0)"
