col_a,color,col_b,ups,pos,downs,,,,,,,,,,,,,,,,,,,,,,,,,,
"(-1,0,0), (-0.15701333,0.12,-0.1936), (1,0, -1)","(-0.15701333,0.12,-0.1936), (1,0, -1), (-1,0,0), (1,0.436,0.06), (-1,0.8, -0.1), (0, -1,0)","(-0.15701333,0.12,-0.1936), (-1,0,0), (1,0, -1)","(200, 100), (-200, 100), (-100, 200)","(200, 100), (-200, 100), (-100, 200), (-100, -200), (-200, -100), (100, -200)","(-100, -200), (-200, -100), (100, -200)",3,1,0.3,0,5,0,0,1,32,602,,,,,,,,,,,,,,,,
"(1,0.436,0.06), (1,0.42, 0.507)","(1,0.42, 0.507), (1,0.436,0.06), (1,0.1, -1), (0.1,-0.45183333, -0.846)","(1,0.436,0.06), (0.1,-0.45183333, -0.846)","(200, 100), (100, 200)","(200, 100), (100, 200), (100, -200), (-100, -200)","(100, -200), (-100, -200)",2,2,5,0,5,0,1,0,33,897,,,,,,,,,,,,,,,,
"(0, -1,0), (-1,-0.2 -0.2), (1,0.436,0.06), (1,0.42, 0.507)","(-1,-0.22, -1), (-1,0.8, -0.1), (1,0, -1), (-0.15701333,0.12,-0.1936), (0, -1,0), (-1,-0.2 -0.2), (1,0.42, 0.507), (1,0.436,0.06)","(-1,0.8, -0.1), (0, -1,0), (-0.15701333,0.12,-0.1936), (1,0, -1)","(100, 200), (200, 100), (-100, 200), (-200, 100)","(100, 200), (200, 100), (-100, 200), (-200, 100), (-100, -200), (100, -200), (200, -100), (-200, -100)","(-100, -200), (100, -200), (200, -100), (-200, -100)",4,0,2,0,0.3,0,0,1,34,7,,,,,,,,,,,,,,,,
"(-0.15701333,0.12,-0.1936)","(-1,0.8, -0.1), (-0.15701333,0.12,-0.1936)","(-0.15701333,0.12,-0.1936)","(-200, 100)","(-200, 100), (-100, -200)","(-100, -200)",1,1,2,2,0.3,1,1,0,35,832,,,,,,,,,,,,,,,,
"(1,0.42, 0.507)","(1,0.42, 0.507), (-1,-0.22, -1)","(-1,-0.22, -1)","(-200, 100)","(-200, 100), (-200, -100)","(-200, -100)",1,2,5,0,0.3,1,1,0,36,1052,,,,,,,,,,,,,,,,
"(-0.15701333,0.12,-0.1936), (1,0, -1)","(0.1,-0.45183333, -0.846), (-0.15701333,0.12,-0.1936), (0, -1,0), (1,0, -1)","(1,0, -1), (0.1,-0.45183333, -0.846)","(100, 200), (200, 100)","(100, 200), (200, 100), (100, -200), (-200, -100)","(100, -200), (-200, -100)",2,0,0.3,0,2,0,0,1,37,49,,,,,,,,,,,,,,,,
"(1,0.436,0.06), (-0.15701333,0.12,-0.1936), (1,0, -1)","(1,0.1, -1), (-0.15701333,0.12,-0.1936), (1,0, -1), (1,0.436,0.06), (0, -1,0), (1,0.42, 0.507)","(0, -1,0), (1,0.436,0.06), (1,0, -1)","(200, 100), (100, 200), (-200, 100)","(200, 100), (100, 200), (-200, 100), (100, -200), (-200, -100), (-100, -200)","(100, -200), (-200, -100), (-100, -200)",3,0,5,2,5,0,1,0,38,430,,,,,,,,,,,,,,,,
"(0.1,-0.45183333, -0.846)","(-0.15701333,0.12,-0.1936), (0.1,-0.45183333, -0.846)","(-0.15701333,0.12,-0.1936)","(-100, 200)","(-100, 200), (200, -100)","(200, -100)",1,0,0.3,2,2,1,0,1,39,264,,,,,,,,,,,,,,,,
"(1,0.42, 0.507), (0.1,-0.45183333, -0.846), (-1,0.8, -0.1)","(-1,0,0), (1,0, -1), (0.1,-0.45183333, -0.846), (1,0.42, 0.507), (-1,0.8, -0.1), (-1,-0.22, -1)","(1,0.42, 0.507), (-1,0.8, -0.1), (-1,-0.22, -1)","(100, 200), (200, 100), (-200, 100)","(100, 200), (200, 100), (-200, 100), (100, -200), (-100, -200), (200, -100)","(100, -200), (-100, -200), (200, -100)",3,2,2,1,0.3,0,1,0,40,942,,,,,,,,,,,,,,,,
"(-1,0,0), (-0.15701333,0.12,-0.1936)","(-1,0,0), (1,0.1, -1), (-1,-0.2 -0.2), (-0.15701333,0.12,-0.1936)","(-1,-0.2 -0.2), (1,0.1, -1)","(-100, 200), (-200, 100)","(-100, 200), (-200, 100), (100, -200), (-100, -200)","(100, -200), (-100, -200)",2,1,2,0,0.3,1,0,1,41,761,,,,,,,,,,,,,,,,
"(-0.15701333,0.12,-0.1936), (-1,-0.2 -0.2), (0.1,-0.45183333, -0.846), (-1,0.8, -0.1)","(-1,0.8, -0.1), (0.1,-0.45183333, -0.846), (1,0.436,0.06), (-0.15701333,0.12,-0.1936), (-1,0,0), (1,0.42, 0.507), (1,0.1, -1), (-1,-0.2 -0.2)","(0.1,-0.45183333, -0.846), (1,0.42, 0.507), (1,0.1, -1), (-1,-0.2 -0.2)","(100, 200), (-200, 100), (200, 100), (-100, 200)","(100, 200), (-200, 100), (200, 100), (-100, 200), (100, -200), (-200, -100), (200, -100), (-100, -200)","(100, -200), (-200, -100), (200, -100), (-100, -200)",4,0,5,0,2,1,1,0,42,491,,,,,,,,,,,,,,,,
"(-1,-0.22, -1), (-1,0.8, -0.1), (-0.15701333,0.12,-0.1936)","(-1,-0.2 -0.2), (-0.15701333,0.12,-0.1936), (1,0.42, 0.507), (-1,-0.22, -1), (0.1,-0.45183333, -0.846), (-1,0.8, -0.1)","(-0.15701333,0.12,-0.1936), (1,0.42, 0.507), (-1,-0.2 -0.2)","(200, 100), (100, 200), (-100, 200)","(200, 100), (100, 200), (-100, 200), (-200, -100), (-100, -200), (100, -200)","(-200, -100), (-100, -200), (100, -200)",3,0,0.3,2,5,1,0,1,43,278,,,,,,,,,,,,,,,,
"(-1,0,0), (1,0.1, -1), (-1,0.8, -0.1), (-1,-0.2 -0.2)","(1,0.42, 0.507), (1,0.436,0.06), (1,0, -1), (0, -1,0), (-1,0.8, -0.1), (-1,0,0), (1,0.1, -1), (-1,-0.2 -0.2)","(-1,0,0), (1,0.436,0.06), (-1,-0.2 -0.2), (1,0.42, 0.507)","(200, 100), (-200, 100), (-100, 200), (100, 200)","(200, 100), (-200, 100), (-100, 200), (100, 200), (100, -200), (-200, -100), (200, -100), (-100, -200)","(100, -200), (-200, -100), (200, -100), (-100, -200)",4,0,5,1,0.3,1,0,1,44,227,,,,,,,,,,,,,,,,
"(-1,0.8, -0.1), (1,0, -1)","(-1,0.8, -0.1), (1,0.42, 0.507), (-1,-0.2 -0.2), (1,0, -1)","(1,0, -1), (-1,0.8, -0.1)","(200, 100), (-100, 200)","(200, 100), (-100, 200), (-200, -100), (-100, -200)","(-200, -100), (-100, -200)",2,2,5,1,5,1,1,0,45,1113,,,,,,,,,,,,,,,,
"(1,0.42, 0.507), (-1,-0.22, -1), (-1,-0.2 -0.2), (1,0.1, -1)","(-1,0.8, -0.1), (0, -1,0), (-1,-0.2 -0.2), (-1,-0.22, -1), (1,0.1, -1), (1,0.42, 0.507), (1,0, -1), (-1,0,0)","(-1,-0.22, -1), (1,0.42, 0.507), (1,0, -1), (-1,0,0)","(-200, 100), (200, 100), (-100, 200), (100, 200)","(-200, 100), (200, 100), (-100, 200), (100, 200), (100, -200), (-200, -100), (-100, -200), (200, -100)","(100, -200), (-200, -100), (-100, -200), (200, -100)",4,0,5,0,0.3,0,1,0,46,335,,,,,,,,,,,,,,,,
"(0, -1,0), (1,0.42, 0.507), (-0.15701333,0.12,-0.1936), (0.1,-0.45183333, -0.846)","(1,0.436,0.06), (0.1,-0.45183333, -0.846), (-1,0.8, -0.1), (-1,0,0), (0, -1,0), (1,0.42, 0.507), (-0.15701333,0.12,-0.1936), (-1,-0.2 -0.2)","(1,0.42, 0.507), (0.1,-0.45183333, -0.846), (-1,0.8, -0.1), (-1,0,0)","(-100, 200), (-200, 100), (200, 100), (100, 200)","(-100, 200), (-200, 100), (200, 100), (100, 200), (200, -100), (-100, -200), (100, -200), (-200, -100)","(200, -100), (-100, -200), (100, -200), (-200, -100)",4,1,5,0,0.3,0,0,1,47,587,,,,,,,,,,,,,,,,
"(0.1,-0.45183333, -0.846), (1,0.436,0.06), (-1,-0.2 -0.2), (-1,-0.22, -1)","(1,0.42, 0.507), (1,0, -1), (-1,-0.2 -0.2), (-1,-0.22, -1), (0, -1,0), (-0.15701333,0.12,-0.1936), (1,0.436,0.06), (0.1,-0.45183333, -0.846)","(-0.15701333,0.12,-0.1936), (1,0.436,0.06), (-1,-0.22, -1), (-1,-0.2 -0.2)","(200, 100), (-200, 100), (-100, 200), (100, 200)","(200, 100), (-200, 100), (-100, 200), (100, 200), (-100, -200), (200, -100), (100, -200), (-200, -100)","(-100, -200), (200, -100), (100, -200), (-200, -100)",4,0,5,0,2,0,0,1,48,59,,,,,,,,,,,,,,,,
"(-1,-0.2 -0.2), (-1,-0.22, -1), (1,0, -1), (0, -1,0)","(-1,-0.22, -1), (1,0.42, 0.507), (1,0.436,0.06), (-1,-0.2 -0.2), (1,0, -1), (0, -1,0), (1,0.1, -1), (-1,0.8, -0.1)","(-1,-0.22, -1), (1,0.42, 0.507), (0, -1,0), (-1,-0.2 -0.2)","(-200, 100), (200, 100), (100, 200), (-100, 200)","(-200, 100), (200, 100), (100, 200), (-100, 200), (-100, -200), (-200, -100), (200, -100), (100, -200)","(-100, -200), (-200, -100), (200, -100), (100, -200)",4,1,2,2,5,0,1,0,49,715,,,,,,,,,,,,,,,,
"(-1,0,0)","(1,0.436,0.06), (-1,0,0)","(-1,0,0)","(-100, 200)","(-100, 200), (-100, -200)","(-100, -200)",1,1,2,0,2,0,1,0,50,628,,,,,,,,,,,,,,,,
"(-1,0.8, -0.1)","(-0.15701333,0.12,-0.1936), (-1,0.8, -0.1)","(-0.15701333,0.12,-0.1936)","(100, 200)","(100, 200), (200, -100)","(200, -100)",1,2,0.3,0,5,1,0,1,51,1032,,,,,,,,,,,,,,,,
"(1,0.42, 0.507), (-1,0,0), (0.1,-0.45183333, -0.846)","(1,0.1, -1), (-0.15701333,0.12,-0.1936), (1,0.42, 0.507), (-1,-0.22, -1), (-1,0,0), (0.1,-0.45183333, -0.846)","(1,0.42, 0.507), (-0.15701333,0.12,-0.1936), (0.1,-0.45183333, -0.846)","(200, 100), (100, 200), (-200, 100)","(200, 100), (100, 200), (-200, 100), (100, -200), (-200, -100), (200, -100)","(100, -200), (-200, -100), (200, -100)",3,0,0.3,0,0.3,1,0,1,52,182,,,,,,,,,,,,,,,,
"(1,0, -1), (-1,0.8, -0.1)","(-0.15701333,0.12,-0.1936), (1,0.436,0.06), (-1,0.8, -0.1), (1,0, -1)","(-0.15701333,0.12,-0.1936), (1,0, -1)","(-200, 100), (100, 200)","(-200, 100), (100, 200), (-100, -200), (100, -200)","(-100, -200), (100, -200)",2,0,2,1,2,1,1,0,53,521,,,,,,,,,,,,,,,,
"(1,0.42, 0.507), (1,0.1, -1), (-1,-0.22, -1)","(-0.15701333,0.12,-0.1936), (1,0.42, 0.507), (-1,-0.22, -1), (1,0.1, -1), (1,0, -1), (-1,-0.2 -0.2)","(1,0, -1), (-0.15701333,0.12,-0.1936), (1,0.1, -1)","(200, 100), (-100, 200), (-200, 100)","(200, 100), (-100, 200), (-200, 100), (-200, -100), (-100, -200), (200, -100)","(-200, -100), (-100, -200), (200, -100)",3,0,5,1,5,0,1,0,54,394,,,,,,,,,,,,,,,,
"(1,0, -1)","(1,0.42, 0.507), (1,0, -1)","(1,0, -1)","(-100, 200)","(-100, 200), (200, -100)","(200, -100)",1,0,2,2,2,0,0,1,55,412,,,,,,,,,,,,,,,,
"(-1,0,0)","(-1,0,0), (0, -1,0)","(-1,0,0)","(-200, 100)","(-200, 100), (100, -200)","(100, -200)",1,0,5,0,2,0,0,1,56,56,,,,,,,,,,,,,,,,
"(-1,0,0), (-0.15701333,0.12,-0.1936)","(-1,0,0), (1,0.42, 0.507), (-0.15701333,0.12,-0.1936), (-1,-0.22, -1)","(1,0.42, 0.507), (-1,0,0)","(-100, 200), (-200, 100)","(-100, 200), (-200, 100), (200, -100), (-100, -200)","(200, -100), (-100, -200)",2,1,2,2,0.3,1,1,0,57,833,,,,,,,,,,,,,,,,
"(-0.15701333,0.12,-0.1936)","(0.1,-0.45183333, -0.846), (-0.15701333,0.12,-0.1936)","(0.1,-0.45183333, -0.846)","(-100, 200)","(-100, 200), (-200, -100)","(-200, -100)",1,1,0.3,0,2,0,0,1,58,624,,,,,,,,,,,,,,,,
"(-1,-0.22, -1), (-1,0,0), (0, -1,0)","(1,0.42, 0.507), (1,0, -1), (-1,-0.22, -1), (-1,0,0), (0, -1,0), (0.1,-0.45183333, -0.846)","(1,0, -1), (1,0.42, 0.507), (0, -1,0)","(-200, 100), (100, 200), (-100, 200)","(-200, 100), (100, 200), (-100, 200), (200, -100), (-200, -100), (100, -200)","(200, -100), (-200, -100), (100, -200)",3,0,5,2,5,1,1,0,59,574,,,,,,,,,,,,,,,,
